FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,DepTime,CRSArrTime,ArrTime,Cancelled,CancellationCode,DepDelay,ArrDelay,CRSElapsedTime
2024-01-08,WN,N700WN,1000,MDW,ATL,0600,0614,0745,0759,0,,14,14,105
2024-01-08,WN,N700WN,1001,ATL,MDW,0815,0815,1000,1000,0,,0,0,105
2024-01-08,WN,N700WN,1002,MDW,DEN,1030,1031,1250,1251,0,,1,1,140
2024-01-08,WN,N700WN,1003,DEN,MDW,1320,1333,1540,1553,0,,13,13,140
2024-01-08,WN,N700WN,1004,MDW,BNA,1610,1610,1730,1730,0,,0,0,80
2024-01-08,WN,N700WN,1005,BNA,MDW,1800,1813,1920,1933,0,,13,13,80
2024-01-08,WN,N701WN,1010,MDW,LAS,0645,0645,1010,1010,0,,0,0,205
2024-01-08,WN,N701WN,1011,LAS,MDW,1040,1040,1405,1405,0,,0,0,205
2024-01-08,WN,N701WN,1012,MDW,DAL,1435,1444,1625,1634,0,,9,9,110
2024-01-08,WN,N701WN,1013,DAL,MDW,1655,1718,1845,1908,0,,23,23,110
2024-01-08,WN,N701WN,1014,MDW,ATL,1915,1916,2100,2101,0,,1,1,105
2024-01-08,WN,N701WN,1015,ATL,MDW,2130,2211,2315,2356,0,,41,41,105
2024-01-08,WN,N702WN,1020,MDW,STL,0545,0558,0650,0703,0,,13,13,65
2024-01-08,WN,N702WN,1021,STL,MDW,0720,0810,0825,0915,0,,50,50,65
2024-01-08,WN,N702WN,1022,MDW,STL,0855,0855,1000,1000,0,,0,0,65
2024-01-08,WN,N702WN,1023,STL,MDW,1030,1030,1135,1135,0,,0,0,65
2024-01-08,WN,N702WN,1024,MDW,LAS,1205,1205,1530,1530,0,,0,0,205
2024-01-08,WN,N702WN,1025,LAS,MDW,1600,1613,1925,1938,0,,13,13,205
2024-01-08,WN,N703WN,1030,MDW,DEN,0700,0748,0920,1008,0,,48,48,140
2024-01-08,WN,N703WN,1031,DEN,MDW,0950,0950,1210,1210,0,,0,0,140
2024-01-08,WN,N703WN,1032,MDW,PHX,1240,1311,1555,1626,0,,31,31,195
2024-01-08,WN,N703WN,1033,PHX,MDW,1625,1654,1940,2009,0,,29,29,195
2024-01-08,WN,N703WN,1034,MDW,PHX,2010,2023,2325,2338,0,,13,13,195
2024-01-08,WN,N703WN,1035,PHX,MDW,2355,0011,0310,0326,0,,16,16,195
2024-01-08,WN,N704WN,1040,MDW,STL,0630,0648,0735,0753,0,,18,18,65
2024-01-08,WN,N704WN,1041,STL,MDW,0805,0805,0910,0910,0,,0,0,65
2024-01-08,WN,N704WN,1042,MDW,BNA,0940,0949,1100,1109,0,,9,9,80
2024-01-08,WN,N704WN,1043,BNA,MDW,1130,1131,1250,1251,0,,1,1,80
2024-01-08,WN,N704WN,1044,MDW,DAL,1320,1325,1510,1515,0,,5,5,110
2024-01-08,WN,N704WN,1045,DAL,MDW,1540,1547,1730,1737,0,,7,7,110
2024-01-08,WN,N705WN,1050,MDW,DAL,0545,0545,0735,0735,0,,0,0,110
2024-01-08,WN,N705WN,1051,DAL,MDW,0805,0805,0955,0955,0,,0,0,110
2024-01-08,WN,N705WN,1052,MDW,STL,1025,1043,1130,1148,0,,18,18,65
2024-01-08,WN,N705WN,1053,STL,MDW,1200,1233,1305,1338,0,,33,33,65
2024-01-08,WN,N705WN,1054,MDW,DEN,1335,1335,1555,1555,0,,0,0,140
2024-01-08,WN,N705WN,1055,DEN,MDW,1625,1625,1845,1845,0,,0,0,140
2024-01-08,WN,N706WN,1060,MDW,DEN,0630,0646,0850,0906,0,,16,16,140
2024-01-08,WN,N706WN,1061,DEN,MDW,0920,0935,1140,1155,0,,15,15,140
2024-01-08,WN,N706WN,1062,MDW,MCI,1210,1234,1335,1359,0,,24,24,85
2024-01-08,WN,N706WN,1063,MCI,MDW,1405,1429,1530,1554,0,,24,24,85
2024-01-08,WN,N706WN,1064,MDW,DAL,1600,1623,1750,1813,0,,23,23,110
2024-01-08,WN,N706WN,1065,DAL,MDW,1820,1829,2010,2019,0,,9,9,110
2024-01-08,WN,N707WN,1070,MDW,DAL,0700,0702,0850,0852,0,,2,2,110
2024-01-08,WN,N707WN,1071,DAL,MDW,0920,0949,1110,1139,0,,29,29,110
2024-01-08,WN,N707WN,1072,MDW,DAL,1140,1209,1330,1359,0,,29,29,110
2024-01-08,WN,N707WN,1073,DAL,MDW,1400,1417,1550,1607,0,,17,17,110
2024-01-08,WN,N707WN,1074,MDW,ATL,1620,1641,1805,1826,0,,21,21,105
2024-01-08,WN,N707WN,1075,ATL,MDW,1835,1835,2020,2020,0,,0,0,105
2024-01-08,WN,N708WN,1080,MDW,MCI,0715,0759,0840,0924,0,,44,44,85
2024-01-08,WN,N708WN,1081,MCI,MDW,0910,0921,1035,1046,0,,11,11,85
2024-01-08,WN,N708WN,1082,MDW,LAS,1105,1121,1430,1446,0,,16,16,205
2024-01-08,WN,N708WN,1083,LAS,MDW,1500,1525,1825,1850,0,,25,25,205
2024-01-08,WN,N708WN,1084,MDW,DAL,1855,,2045,,1,C,,,110
