aircraft,origin,destination,scheduled_departure,block_minutes
AC00,AMS,VIE,07:15,105
AC00,VIE,AMS,09:45,105
AC00,AMS,VIE,12:15,105
AC00,VIE,AMS,14:45,105
AC01,AMS,VIE,07:15,105
AC01,VIE,AMS,09:45,105
AC01,AMS,VIE,12:15,105
AC01,VIE,AMS,14:45,105
AC02,AMS,BER,06:15,80
AC02,BER,AMS,08:20,80
AC02,AMS,VIE,10:25,105
AC02,VIE,AMS,12:55,105
AC03,CDG,BER,07:15,95
AC03,BER,CDG,09:35,95
AC03,CDG,FCO,11:55,125
AC03,FCO,CDG,14:45,125
AC04,CDG,LIS,05:45,145
AC04,LIS,CDG,08:55,145
AC04,CDG,AMS,12:05,70
AC04,AMS,CDG,14:00,70
AC05,BER,VIE,06:00,75
AC05,VIE,BER,08:00,75
AC05,BER,VIE,10:00,75
AC05,VIE,BER,12:00,75
AC06,BER,CPH,07:00,55
AC06,CPH,BER,08:40,55
AC06,BER,CDG,10:20,95
AC06,CDG,BER,12:40,95
AC07,MAD,LIS,05:30,75
AC07,LIS,MAD,07:30,75
AC07,MAD,LIS,09:30,75
AC07,LIS,MAD,11:30,75
AC08,FCO,MAD,05:30,140
AC08,MAD,FCO,08:35,140
AC08,FCO,MAD,11:40,140
AC08,MAD,FCO,14:45,140
AC09,VIE,AMS,05:30,105
AC09,AMS,VIE,08:00,105
AC09,VIE,FCO,10:30,85
AC09,FCO,VIE,12:40,85
AC10,CPH,AMS,07:15,85
AC10,AMS,CPH,09:25,85
AC10,CPH,BER,11:35,55
AC10,BER,CPH,13:15,55
AC11,LIS,MAD,06:15,75
AC11,MAD,LIS,08:15,75
AC11,LIS,MAD,10:15,75
AC11,MAD,LIS,12:15,75
AC12,AMS,CPH,05:30,85
AC12,CPH,AMS,07:40,85
AC12,AMS,CDG,09:50,70
AC12,CDG,AMS,11:45,70
AC13,CDG,AMS,07:15,70
AC13,AMS,CDG,09:10,70
AC13,CDG,LIS,11:05,145
AC13,LIS,CDG,14:15,145
